Metric,Traditional,Flash,Improvement (%)
Accuracy,0.785,0.79,0.6369426751592362
F1 Score,0.7812817904374364,0.7953216374269005,1.7970272904483404
Precision,0.810126582278481,0.7891682785299806,-2.587040618955516
Recall,0.7544204322200393,0.8015717092337917,6.249999999999997
Train Time (s),59.302815198898315,48.43013882637024,-18.33416564805858
Inference (ms/batch),10.561510368629737,7.380715122929326,-30.11685956535297
